"within_ss","avg_silhouette"
19183.3197293446,0.583498556762036
14965.243398511,0.390764720745365
12307.694504919,0.373951987428112
10732.6227201616,0.31891394206943
9981.63370467494,0.26561563900133
9441.74912974685,0.271929366395656
9000.59859214996,0.235487983967572
8652.19792937871,0.23453324047348
8235.79788755787,0.240596929469849
7747.73699453698,0.235739426776289
7540.21120738955,0.241386334025897
7286.7602264849,0.227417174966676
7083.44266428796,0.193039088707795
6842.00674156618,0.221391198675047
6582.96416623288,0.183623551059626
6552.62940630463,0.202894672325457
6007.52805771206,0.191998377277228
5960.69854085802,0.188157988843308
6081.23750577813,0.146161257286919
