"analysis.var","mult.fact","reps","orig.wt","Diff.origwt.reps","final.wt0","final.wt"
"cfs_serious_rate_LA.2018",12,0,1,1,1,12
"cfs_nonser_rate_LA.2018",3,-14,4,-10,1,3
"adult_arr_rate_LA.2018",1,-15,4,-11,1,1
"arr_rate_a_LA.2018",1,-4,4,0,1,1
"arr_rate_b_LA.2018",1,-15,4,-11,1,1
"arr_rate_h_LA.2018",1,-12,4,-8,1,1
"arr_rate_w_LA.2018",1,-11,4,-7,1,1
"crime_p1p_rate_LA.2018",1,-16,4,-12,1,1
"crime_p1v_rate_LA.2018",1,-16,4,-12,1,1
"crime_p2_rate_LA.2018",1,-15,4,-11,1,1
"juv_arr_rate_LA.2018",1,-8,4,-4,1,1
"s_numped_rate_LA.2018",1,-16,4,-12,1,1
"s_numveh_rate_LA.2018",1,-15,4,-11,1,1
"stop_rate_a_LA.2018",1,-3,4,1,1,1
"stop_rate_b_LA.2018",1,-11,4,-7,1,1
"stop_rate_h_LA.2018",1,-12,4,-8,1,1
"stop_rate_w_LA.2018",1,-10,4,-6,1,1
